optID,contMultNum,contractStatus,contractType,currencyCD,deliDate,delistDate,exchangeCD,exerDate,expDate,expMonth,expYear,lastTradeDate,listDate,secID,secShortName,strikePrice,tickerSymbol,varExchangeCD,varSecID,varShortName,varTicker,varType
10000020,10000,DE,PO,CNY,2015-04-23,2015-04-22,XSHG,2015-04-22,2015-04-22,04,2015,2015-04-22,2015-02-09,510050P1504M02400.XSHG,50ETF沽4月2400,2.4,510050P1504M02400,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000021,10000,DE,CO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-02-09,510050C1506M02200.XSHG,50ETF购6月2200,2.2,510050C1506M02200,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000022,10000,DE,CO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-02-09,510050C1506M02250.XSHG,50ETF购6月2250,2.25,510050C1506M02250,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000023,10000,DE,CO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-02-09,510050C1506M02300.XSHG,50ETF购6月2300,2.3,510050C1506M02300,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000024,10000,DE,CO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-02-09,510050C1506M02350.XSHG,50ETF购6月2350,2.35,510050C1506M02350,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000025,10000,DE,CO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-02-09,510050C1506M02400.XSHG,50ETF购6月2400,2.4,510050C1506M02400,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000026,10000,DE,PO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-02-09,510050P1506M02200.XSHG,50ETF沽6月2200,2.2,510050P1506M02200,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000027,10000,DE,PO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-02-09,510050P1506M02250.XSHG,50ETF沽6月2250,2.25,510050P1506M02250,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000028,10000,DE,PO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-02-09,510050P1506M02300.XSHG,50ETF沽6月2300,2.3,510050P1506M02300,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000029,10000,DE,PO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-02-09,510050P1506M02350.XSHG,50ETF沽6月2350,2.35,510050P1506M02350,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000030,10000,DE,PO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-02-09,510050P1506M02400.XSHG,50ETF沽6月2400,2.4,510050P1506M02400,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000031,10000,DE,CO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-02-09,510050C1509M02200.XSHG,50ETF购9月2200,2.2,510050C1509M02200,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000032,10000,DE,CO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-02-09,510050C1509M02250.XSHG,50ETF购9月2250,2.25,510050C1509M02250,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000033,10000,DE,CO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-02-09,510050C1509M02300.XSHG,50ETF购9月2300,2.3,510050C1509M02300,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000034,10000,DE,CO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-02-09,510050C1509M02350.XSHG,50ETF购9月2350,2.35,510050C1509M02350,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000035,10000,DE,CO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-02-09,510050C1509M02400.XSHG,50ETF购9月2400,2.4,510050C1509M02400,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000036,10000,DE,PO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-02-09,510050P1509M02200.XSHG,50ETF沽9月2200,2.2,510050P1509M02200,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000037,10000,DE,PO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-02-09,510050P1509M02250.XSHG,50ETF沽9月2250,2.25,510050P1509M02250,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000038,10000,DE,PO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-02-09,510050P1509M02300.XSHG,50ETF沽9月2300,2.3,510050P1509M02300,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000039,10000,DE,PO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-02-09,510050P1509M02350.XSHG,50ETF沽9月2350,2.35,510050P1509M02350,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000040,10000,DE,PO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-02-09,510050P1509M02400.XSHG,50ETF沽9月2400,2.4,510050P1509M02400,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000041,10000,DE,CO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-02-10,510050C1503M02450.XSHG,50ETF购3月2450,2.45,510050C1503M02450,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000042,10000,DE,PO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-02-10,510050P1503M02450.XSHG,50ETF沽3月2450,2.45,510050P1503M02450,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000043,10000,DE,CO,CNY,2015-04-23,2015-04-22,XSHG,2015-04-22,2015-04-22,04,2015,2015-04-22,2015-02-10,510050C1504M02450.XSHG,50ETF购4月2450,2.45,510050C1504M02450,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000044,10000,DE,PO,CNY,2015-04-23,2015-04-22,XSHG,2015-04-22,2015-04-22,04,2015,2015-04-22,2015-02-10,510050P1504M02450.XSHG,50ETF沽4月2450,2.45,510050P1504M02450,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000045,10000,DE,CO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-02-10,510050C1506M02450.XSHG,50ETF购6月2450,2.45,510050C1506M02450,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000046,10000,DE,PO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-02-10,510050P1506M02450.XSHG,50ETF沽6月2450,2.45,510050P1506M02450,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000047,10000,DE,CO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-02-10,510050C1509M02450.XSHG,50ETF购9月2450,2.45,510050C1509M02450,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000048,10000,DE,PO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-02-10,510050P1509M02450.XSHG,50ETF沽9月2450,2.45,510050P1509M02450,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000049,10000,DE,CO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-02-12,510050C1503M02500.XSHG,50ETF购3月2500,2.5,510050C1503M02500,XSHG,510050.XSHG,华夏上证50ETF,510050,F
